2025-12-07 08:31:14 	 Error 	 Invalid or expired token

2025-12-07 08:31:14 	 Error 	 Invalid or expired token

2025-12-07 08:39:56 	 Error 	 Invalid or expired token

2025-12-07 08:39:56 	 Error 	 Invalid or expired token

2025-12-07 09:12:45 	 Error 	 Invalid value { winner_id: 1 }

2025-12-07 09:12:45 	 Error 	 Invalid value { winner_id: 1 }

2025-12-07 09:13:22 	 Error 	 Invalid value { winner_id: 1 }

2025-12-07 09:13:22 	 Error 	 Invalid value { winner_id: 1 }

2025-12-07 09:17:58 	 SequelizeEagerLoadingError 	 Player is associated to Game multiple times. To identify the correct association, you must use the 'as' keyword to specify the alias of the association you want to include.

2025-12-07 09:17:58 	 SequelizeEagerLoadingError 	 Player is associated to Game multiple times. To identify the correct association, you must use the 'as' keyword to specify the alias of the association you want to include.

2025-12-07 09:24:35 	 Error 	 Invalid value { winner_id: 1 }

2025-12-07 09:24:35 	 Error 	 Invalid value { winner_id: 1 }

2025-12-07 09:27:26 	 Error 	 Invalid value { winner_id: 1 }

2025-12-07 09:27:26 	 Error 	 Invalid value { winner_id: 1 }

2025-12-07 09:33:25 	 Error 	 Invalid value { winner_id: 1 }

2025-12-07 09:33:25 	 Error 	 Invalid value { winner_id: 1 }

2025-12-07 10:52:00 	 SequelizeDatabaseError 	 invalid input syntax for type integer: "[object Object]"

2025-12-07 10:52:00 	 SequelizeDatabaseError 	 invalid input syntax for type integer: "[object Object]"

2025-12-07 11:33:26 	 Error 	 Invalid or expired token

2025-12-07 11:33:26 	 Error 	 Invalid or expired token

2025-12-07 11:36:54 	 Error 	 Invalid or expired token

2025-12-07 11:36:54 	 Error 	 Invalid or expired token

2025-12-08 12:01:55 	 Error 	 Invalid or expired token

2025-12-08 12:01:55 	 Error 	 Invalid or expired token

2025-12-08 12:02:26 	 Error 	 Email ou mot de passe incorrecte

2025-12-08 12:02:30 	 Error 	 Email ou mot de passe incorrecte

2025-12-09 08:01:37 	 Error 	 Invalid or expired token

2025-12-09 08:01:37 	 Error 	 Invalid or expired token

2025-12-09 08:01:46 	 Error 	 Invalid or expired token

2025-12-09 08:01:46 	 Error 	 Invalid or expired token

2025-12-09 11:30:12 	 Error 	 Invalid or expired token

2025-12-09 11:30:12 	 Error 	 Invalid or expired token

2025-12-09 11:32:33 	 Error 	 Invalid or expired token

2025-12-09 11:32:33 	 Error 	 Invalid or expired token

2025-12-09 11:34:11 	 Error 	 Invalid or expired token

2025-12-09 11:34:11 	 Error 	 Invalid or expired token

2025-12-10 12:23:33 	 Error 	 Invalid or expired token

2025-12-10 12:23:33 	 Error 	 Invalid or expired token

2025-12-10 12:23:47 	 Error 	 Invalid or expired token

2025-12-10 12:23:47 	 Error 	 Invalid or expired token

2025-12-10 12:25:06 	 Error 	 Invalid or expired token

2025-12-10 12:25:06 	 Error 	 Invalid or expired token

2025-12-10 12:29:20 	 Error 	 Invalid or expired token

2025-12-10 12:29:20 	 Error 	 Invalid or expired token

2025-12-10 12:37:53 	 Error 	 Invalid or expired token

2025-12-10 12:37:53 	 Error 	 Invalid or expired token

2025-12-10 12:55:44 	 Error 	 Invalid or expired token

2025-12-10 12:55:44 	 Error 	 Invalid or expired token

2025-12-10 12:55:46 	 Error 	 Invalid or expired token

2025-12-10 12:55:46 	 Error 	 Invalid or expired token

2025-12-10 12:56:32 	 Error 	 secretOrPrivateKey must have a value

